medicine,ceil_price
"(me ganeuron pg/
gabamax gold)
pregabalin+mecobalami
n+
vitamin b6 + folic acid +
benfotiamine capsule
manufactured and
marketed by m/s theon
pharmaceuticals ltd., and",10.92
"moxifloxacin +
prednisolone acetate
opthalmic solution
manufactured and
marketed by m/s akums
drugs & pharmaceuticals
ltd. and m/s entod
pharmaceuticals ltd.",3.69
"(ferisis xt)
ferrous ascorbate+
folic acid tablet
manufactured and
marketed by m/s acme
formulation ltd. and m/s
alembic pharmaceuticals
ltd.",7.33
"( corbis am 2.5/5)
bisoprolol fumarate+
amlodipine tablet
manufactured and
marketed by m/s ordain
healthcare global pvt.
ltd. and m/s unichem
lab. limited",61.78
"cefaclass injecton
(manufactured and
marketed by m/s scott
edil advance research
labs. & education ltd.
and m/s gem mankind)",41.96
"(cefaclass)
cefixime dry syrup
(manufactured and
marketed by m/s scott
edil advance research
labs. & education ltd.
and m/s gem mankind)",1.39
"(brutaflox – oz)
ofloxacin+
ornidazole tablet
(manufactured and
marketed by m/s scott
edil advance research
labs. & education ltd.
and m/s gem mankind)",6.6
"(haemiron xt)
ferrous ascorbate+
folic acid suspension",135.0
"aml odipine besilate+
atenolol tablet
(atnoblok-am)
manufactured by
m/s pharma force lab.
and m/s gem mankind",3.62
"ami kacin sulphate+
methyl paraben+
propyl paraben injection
(mikagem-500)
mfd by
m/s scott edil pharmacia
and m/s gem mankind",54.87
"ami kacin sulphate+
methyl paraben+
propyl paraben injection
(mikagem-100)
mfd by
m/s scott edil pharmacia
and m/s gem mankind",15.98
"diclo fenac+linseed oil+
methyl salicylate+
menthol gel
mfd by",2.11
"para cetamol infusion
(ifimol iv)
mfd by
m/s j.b. chemicals &
pharmaceuticals ltd.",2.06
"ator vastatin calcium
tablet
(atorvakind 20)
m/s innova captab & m/s
gem mankind",11.0
"ator vastatin calcium
tablet
(atorvakind 20)
mfd by
m/s mankind pharma
ltd. & m/s gem mankind",11.0
"losa rtan potassium+
chlorthalidone tablet
mfd by",4.5
"azith romycin oral
suspension
mfd by
m/s cadila
pharmaceuticals ltd.",2.68
"azith romycin suspension
(atm junior)
mfd by
m/s indoco remedies
ltd.",2.68
"glim epiride+voglibose
+ metformin tablet
(xmet- trio 500/0.2/2)
mfd by
m/s windlas biotech
ltd.& m/s glenmark
pharmaceuticals ltd.",90.4816892452017
"ond ansetron orally
disintegrating strips 4 mg
mfd by
m/s nu therapeutics pvt.
ltd. & m/s delvin
formulation pvt. ltd.",9.11
"ond ansetron orally
disintegrating strips 4 mg
mfd by
m/s nu therapeutics pvt.
ltd. & m/s mankind
pharma ltd.",9.11
"ond ansetron orally
disintegrating strips 4 mg
mfd by
m/s nu therapeutics pvt.
ltd.",9.11
"ond ansetron orally
disintegrating strips 4 mg
mfd by
m/s zim lab. ltd.",9.11
